"","Date","WeekDay","Hour","PatientVolume"
"197","1/9/2009","Fri",4,61
"198","1/9/2009","Fri",5,62
"199","1/9/2009","Fri",6,62
"200","1/9/2009","Fri",7,69
"201","1/9/2009","Fri",8,67
"202","1/9/2009","Fri",9,66
"203","1/9/2009","Fri",10,69
"204","1/9/2009","Fri",11,76
"205","1/9/2009","Fri",12,67
"206","1/9/2009","Fri",13,61
"207","1/9/2009","Fri",14,59
"208","1/9/2009","Fri",15,69
"209","1/9/2009","Fri",16,57
"210","1/9/2009","Fri",17,63
"211","1/9/2009","Fri",18,72
"212","1/9/2009","Fri",19,66
"213","1/9/2009","Fri",20,67
"214","1/9/2009","Fri",21,67
"215","1/9/2009","Fri",22,60
"216","1/9/2009","Fri",23,55
"217","1/10/2009","Sat",0,49
"218","1/10/2009","Sat",1,47
"219","1/10/2009","Sat",2,52
"220","1/10/2009","Sat",3,54
"221","1/10/2009","Sat",4,62
"222","1/10/2009","Sat",5,56
"223","1/10/2009","Sat",6,63
"224","1/10/2009","Sat",7,65
"225","1/10/2009","Sat",8,67
"226","1/10/2009","Sat",9,66
"227","1/10/2009","Sat",10,69
"228","1/10/2009","Sat",11,73
"229","1/10/2009","Sat",12,61
"230","1/10/2009","Sat",13,61
"231","1/10/2009","Sat",14,61
"232","1/10/2009","Sat",15,56
"233","1/10/2009","Sat",16,57
"234","1/10/2009","Sat",17,64
"235","1/10/2009","Sat",18,66
"236","1/10/2009","Sat",19,65
"237","1/10/2009","Sat",20,66
"238","1/10/2009","Sat",21,66
"239","1/10/2009","Sat",22,62
"240","1/10/2009","Sat",23,64
"241","1/11/2009","Sun",0,61
"242","1/11/2009","Sun",1,67
"243","1/11/2009","Sun",2,69
"244","1/11/2009","Sun",3,70
"245","1/11/2009","Sun",4,63
"246","1/11/2009","Sun",5,70
"247","1/11/2009","Sun",6,75
"248","1/11/2009","Sun",7,79
"249","1/11/2009","Sun",8,79
"250","1/11/2009","Sun",9,76
"251","1/11/2009","Sun",10,79
"252","1/11/2009","Sun",11,77
"253","1/11/2009","Sun",12,79
"254","1/11/2009","Sun",13,72
"255","1/11/2009","Sun",14,72
"256","1/11/2009","Sun",15,77
"257","1/11/2009","Sun",16,69
"258","1/11/2009","Sun",17,75
"259","1/11/2009","Sun",18,73
"260","1/11/2009","Sun",19,73
"261","1/11/2009","Sun",20,63
"262","1/11/2009","Sun",21,58
"263","1/11/2009","Sun",22,53
"264","1/11/2009","Sun",23,51
"265","1/12/2009","Mon",0,61
"266","1/12/2009","Mon",1,64
"267","1/12/2009","Mon",2,65
"268","1/12/2009","Mon",3,62
"269","1/12/2009","Mon",4,58
"270","1/12/2009","Mon",5,60
"271","1/12/2009","Mon",6,56
"272","1/12/2009","Mon",7,67
"273","1/12/2009","Mon",8,69
"274","1/12/2009","Mon",9,69
"275","1/12/2009","Mon",10,72
"276","1/12/2009","Mon",11,75
"277","1/12/2009","Mon",12,71
"278","1/12/2009","Mon",13,69
"279","1/12/2009","Mon",14,63
"280","1/12/2009","Mon",15,67
"281","1/12/2009","Mon",16,70
"282","1/12/2009","Mon",17,74
"283","1/12/2009","Mon",18,73
"284","1/12/2009","Mon",19,67
"285","1/12/2009","Mon",20,61
"286","1/12/2009","Mon",21,57
"287","1/12/2009","Mon",22,57
"288","1/12/2009","Mon",23,59
"289","1/13/2009","Tue",0,61
"290","1/13/2009","Tue",1,60
"291","1/13/2009","Tue",2,64
"292","1/13/2009","Tue",3,71
"293","1/13/2009","Tue",4,72
"294","1/13/2009","Tue",5,73
"295","1/13/2009","Tue",6,69
"296","1/13/2009","Tue",7,82
"297","1/13/2009","Tue",8,80
"298","1/13/2009","Tue",9,77
"299","1/13/2009","Tue",10,81
"300","1/13/2009","Tue",11,86
"301","1/13/2009","Tue",12,85
"302","1/13/2009","Tue",13,84
"303","1/13/2009","Tue",14,78
"304","1/13/2009","Tue",15,82
"305","1/13/2009","Tue",16,80
"306","1/13/2009","Tue",17,84
"307","1/13/2009","Tue",18,85
"308","1/13/2009","Tue",19,82
"309","1/13/2009","Tue",20,82
"310","1/13/2009","Tue",21,75
"311","1/13/2009","Tue",22,72
"312","1/13/2009","Tue",23,75
"313","1/14/2009","Wed",0,66
"314","1/14/2009","Wed",1,69
"315","1/14/2009","Wed",2,65
"316","1/14/2009","Wed",3,65
"317","1/14/2009","Wed",4,63
"318","1/14/2009","Wed",5,67
"319","1/14/2009","Wed",6,71
"320","1/14/2009","Wed",7,71
"321","1/14/2009","Wed",8,74
"322","1/14/2009","Wed",9,79
"323","1/14/2009","Wed",10,79
"324","1/14/2009","Wed",11,86
"325","1/14/2009","Wed",12,84
"326","1/14/2009","Wed",13,73
"327","1/14/2009","Wed",14,69
"328","1/14/2009","Wed",15,71
"329","1/14/2009","Wed",16,73
"330","1/14/2009","Wed",17,72
"331","1/14/2009","Wed",18,77
"332","1/14/2009","Wed",19,77
"333","1/14/2009","Wed",20,67
"334","1/14/2009","Wed",21,68
"335","1/14/2009","Wed",22,65
"336","1/14/2009","Wed",23,62
"337","1/15/2009","Thu",0,57
"338","1/15/2009","Thu",1,62
"339","1/15/2009","Thu",2,60
"340","1/15/2009","Thu",3,58
"341","1/15/2009","Thu",4,55
"342","1/15/2009","Thu",5,56
"343","1/15/2009","Thu",6,64
"344","1/15/2009","Thu",7,71
"345","1/15/2009","Thu",8,76
"346","1/15/2009","Thu",9,78
"347","1/15/2009","Thu",10,81
"348","1/15/2009","Thu",11,86
"349","1/15/2009","Thu",12,74
"350","1/15/2009","Thu",13,65
"351","1/15/2009","Thu",14,69
"352","1/15/2009","Thu",15,75
"353","1/15/2009","Thu",16,72
"354","1/15/2009","Thu",17,73
"355","1/15/2009","Thu",18,79
"356","1/15/2009","Thu",19,79
"357","1/15/2009","Thu",20,71
"358","1/15/2009","Thu",21,71
"359","1/15/2009","Thu",22,72
"360","1/15/2009","Thu",23,72
"361","1/16/2009","Fri",0,65
"362","1/16/2009","Fri",1,70
"363","1/16/2009","Fri",2,77
"364","1/16/2009","Fri",3,76
"365","1/16/2009","Fri",4,78
"366","1/16/2009","Fri",5,81
"367","1/16/2009","Fri",6,81
"368","1/16/2009","Fri",7,83
"369","1/16/2009","Fri",8,81
"370","1/16/2009","Fri",9,82
"371","1/16/2009","Fri",10,90
"372","1/16/2009","Fri",11,93
"373","1/16/2009","Fri",12,86
"374","1/16/2009","Fri",13,83
"375","1/16/2009","Fri",14,77
"376","1/16/2009","Fri",15,79
"377","1/16/2009","Fri",16,75
"378","1/16/2009","Fri",17,74
"379","1/16/2009","Fri",18,82
"380","1/16/2009","Fri",19,82
"381","1/16/2009","Fri",20,70
"382","1/16/2009","Fri",21,71
"383","1/16/2009","Fri",22,63
"384","1/16/2009","Fri",23,59
"385","1/17/2009","Sat",0,47
"386","1/17/2009","Sat",1,45
"387","1/17/2009","Sat",2,42
"388","1/17/2009","Sat",3,49
"389","1/17/2009","Sat",4,52
"390","1/17/2009","Sat",5,53
"391","1/17/2009","Sat",6,62
"392","1/17/2009","Sat",7,70
"393","1/17/2009","Sat",8,66
"394","1/17/2009","Sat",9,65
"395","1/17/2009","Sat",10,68
"396","1/17/2009","Sat",11,73
"397","1/17/2009","Sat",12,63
"398","1/17/2009","Sat",13,63
"399","1/17/2009","Sat",14,58
"400","1/17/2009","Sat",15,62
"401","1/17/2009","Sat",16,59
"402","1/17/2009","Sat",17,63
"403","1/17/2009","Sat",18,71
"404","1/17/2009","Sat",19,66
"405","1/17/2009","Sat",20,65
"406","1/17/2009","Sat",21,54
"407","1/17/2009","Sat",22,49
"408","1/17/2009","Sat",23,51
"409","1/18/2009","Sun",0,60
"410","1/18/2009","Sun",1,59
"411","1/18/2009","Sun",2,56
"412","1/18/2009","Sun",3,62
"413","1/18/2009","Sun",4,60
"414","1/18/2009","Sun",5,56
"415","1/18/2009","Sun",6,62
"416","1/18/2009","Sun",7,69
"417","1/18/2009","Sun",8,69
"418","1/18/2009","Sun",9,71
"419","1/18/2009","Sun",10,76
"420","1/18/2009","Sun",11,78
"421","1/18/2009","Sun",12,68
"422","1/18/2009","Sun",13,64
"423","1/18/2009","Sun",14,60
"424","1/18/2009","Sun",15,68
"425","1/18/2009","Sun",16,64
"426","1/18/2009","Sun",17,64
"427","1/18/2009","Sun",18,72
"428","1/18/2009","Sun",19,70
"429","1/18/2009","Sun",20,70
"430","1/18/2009","Sun",21,66
"431","1/18/2009","Sun",22,58
"432","1/18/2009","Sun",23,61
"433","1/19/2009","Mon",0,63
"434","1/19/2009","Mon",1,67
"435","1/19/2009","Mon",2,65
"436","1/19/2009","Mon",3,71
"437","1/19/2009","Mon",4,68
"438","1/19/2009","Mon",5,71
"439","1/19/2009","Mon",6,74
"440","1/19/2009","Mon",7,77
"441","1/19/2009","Mon",8,76
"442","1/19/2009","Mon",9,84
"443","1/19/2009","Mon",10,88
"444","1/19/2009","Mon",11,97
"445","1/19/2009","Mon",12,91
"446","1/19/2009","Mon",13,86
"447","1/19/2009","Mon",14,82
"448","1/19/2009","Mon",15,87
"449","1/19/2009","Mon",16,78
"450","1/19/2009","Mon",17,75
"451","1/19/2009","Mon",18,79
"452","1/19/2009","Mon",19,82
"453","1/19/2009","Mon",20,73
"454","1/19/2009","Mon",21,72
"455","1/19/2009","Mon",22,74
"456","1/19/2009","Mon",23,69
"457","1/20/2009","Tue",0,72
"458","1/20/2009","Tue",1,72
"459","1/20/2009","Tue",2,76
"460","1/20/2009","Tue",3,80
"461","1/20/2009","Tue",4,78
"462","1/20/2009","Tue",5,82
"463","1/20/2009","Tue",6,85
"464","1/20/2009","Tue",7,84
"465","1/20/2009","Tue",8,80
"466","1/20/2009","Tue",9,87
"467","1/20/2009","Tue",10,95
"468","1/20/2009","Tue",11,97
"469","1/20/2009","Tue",12,88
"470","1/20/2009","Tue",13,84
"471","1/20/2009","Tue",14,81
"472","1/20/2009","Tue",15,82
"473","1/20/2009","Tue",16,74
"474","1/20/2009","Tue",17,77
"475","1/20/2009","Tue",18,86
"476","1/20/2009","Tue",19,76
"477","1/20/2009","Tue",20,75
"478","1/20/2009","Tue",21,75
"479","1/20/2009","Tue",22,77
"480","1/20/2009","Tue",23,73
"481","1/21/2009","Wed",0,66
"482","1/21/2009","Wed",1,62
"483","1/21/2009","Wed",2,66
"484","1/21/2009","Wed",3,71
"485","1/21/2009","Wed",4,63
"486","1/21/2009","Wed",5,70
"487","1/21/2009","Wed",6,78
"488","1/21/2009","Wed",7,77
"489","1/21/2009","Wed",8,81
"490","1/21/2009","Wed",9,82
"491","1/21/2009","Wed",10,85
"492","1/21/2009","Wed",11,86
"493","1/21/2009","Wed",12,80
"494","1/21/2009","Wed",13,82
"495","1/21/2009","Wed",14,75
"496","1/21/2009","Wed",15,78
"497","1/21/2009","Wed",16,69
"498","1/21/2009","Wed",17,73
"499","1/21/2009","Wed",18,78
"500","1/21/2009","Wed",19,82
"501","1/21/2009","Wed",20,79
"502","1/21/2009","Wed",21,74
"503","1/21/2009","Wed",22,70
"504","1/21/2009","Wed",23,65
"505","1/22/2009","Thu",0,60
"506","1/22/2009","Thu",1,60
"507","1/22/2009","Thu",2,57
"508","1/22/2009","Thu",3,58
"509","1/22/2009","Thu",4,54
"510","1/22/2009","Thu",5,57
"511","1/22/2009","Thu",6,68
"512","1/22/2009","Thu",7,75
"513","1/22/2009","Thu",8,77
"514","1/22/2009","Thu",9,76
"515","1/22/2009","Thu",10,83
"516","1/22/2009","Thu",11,91
"517","1/22/2009","Thu",12,87
"518","1/22/2009","Thu",13,86
"519","1/22/2009","Thu",14,80
"520","1/22/2009","Thu",15,80
"521","1/22/2009","Thu",16,71
"522","1/22/2009","Thu",17,73
"523","1/22/2009","Thu",18,75
"524","1/22/2009","Thu",19,78
"525","1/22/2009","Thu",20,71
"526","1/22/2009","Thu",21,71
"527","1/22/2009","Thu",22,69
"528","1/22/2009","Thu",23,65
"529","1/23/2009","Fri",0,57
"530","1/23/2009","Fri",1,54
"531","1/23/2009","Fri",2,58
"532","1/23/2009","Fri",3,53
"533","1/23/2009","Fri",4,56
"534","1/23/2009","Fri",5,62
"535","1/23/2009","Fri",6,62
"536","1/23/2009","Fri",7,64
"537","1/23/2009","Fri",8,61
"538","1/23/2009","Fri",9,69
"539","1/23/2009","Fri",10,70
"540","1/23/2009","Fri",11,69
"541","1/23/2009","Fri",12,70
"542","1/23/2009","Fri",13,66
"543","1/23/2009","Fri",14,67
"544","1/23/2009","Fri",15,70
"545","1/23/2009","Fri",16,66
"546","1/23/2009","Fri",17,67
"547","1/23/2009","Fri",18,67
"548","1/23/2009","Fri",19,69
"549","1/23/2009","Fri",20,68
"550","1/23/2009","Fri",21,66
"551","1/23/2009","Fri",22,64
"552","1/23/2009","Fri",23,69
"553","1/24/2009","Sat",0,56
"554","1/24/2009","Sat",1,59
"555","1/24/2009","Sat",2,65
"556","1/24/2009","Sat",3,65
"557","1/24/2009","Sat",4,58
"558","1/24/2009","Sat",5,59
"559","1/24/2009","Sat",6,64
"560","1/24/2009","Sat",7,60
"561","1/24/2009","Sat",8,61
"562","1/24/2009","Sat",9,66
"563","1/24/2009","Sat",10,63
"564","1/24/2009","Sat",11,73
"565","1/24/2009","Sat",12,66
"566","1/24/2009","Sat",13,59
"567","1/24/2009","Sat",14,61
"568","1/24/2009","Sat",15,70
"569","1/24/2009","Sat",16,67
"570","1/24/2009","Sat",17,69
"571","1/24/2009","Sat",18,74
"572","1/24/2009","Sat",19,76
"573","1/24/2009","Sat",20,72
"574","1/24/2009","Sat",21,60
"575","1/24/2009","Sat",22,55
"576","1/24/2009","Sat",23,53
"577","1/25/2009","Sun",0,52
"578","1/25/2009","Sun",1,59
"579","1/25/2009","Sun",2,59
"580","1/25/2009","Sun",3,54
"581","1/25/2009","Sun",4,59
"582","1/25/2009","Sun",5,60
"583","1/25/2009","Sun",6,64
"584","1/25/2009","Sun",7,67
"585","1/25/2009","Sun",8,68
"586","1/25/2009","Sun",9,73
"587","1/25/2009","Sun",10,83
"588","1/25/2009","Sun",11,85
"589","1/25/2009","Sun",12,76
"590","1/25/2009","Sun",13,79
"591","1/25/2009","Sun",14,69
"592","1/25/2009","Sun",15,70
"593","1/25/2009","Sun",16,65
"594","1/25/2009","Sun",17,62
"595","1/25/2009","Sun",18,73
"596","1/25/2009","Sun",19,68
"597","1/25/2009","Sun",20,65
"598","1/25/2009","Sun",21,64
"599","1/25/2009","Sun",22,62
"600","1/25/2009","Sun",23,63
"601","1/26/2009","Mon",0,66
"602","1/26/2009","Mon",1,69
"603","1/26/2009","Mon",2,66
"604","1/26/2009","Mon",3,70
"605","1/26/2009","Mon",4,71
"606","1/26/2009","Mon",5,73
"607","1/26/2009","Mon",6,83
"608","1/26/2009","Mon",7,78
"609","1/26/2009","Mon",8,76
"610","1/26/2009","Mon",9,77
"611","1/26/2009","Mon",10,84
"612","1/26/2009","Mon",11,83
"613","1/26/2009","Mon",12,80
"614","1/26/2009","Mon",13,77
"615","1/26/2009","Mon",14,72
"616","1/26/2009","Mon",15,76
"617","1/26/2009","Mon",16,74
"618","1/26/2009","Mon",17,73
"619","1/26/2009","Mon",18,79
"620","1/26/2009","Mon",19,83
"621","1/26/2009","Mon",20,78
"622","1/26/2009","Mon",21,79
"623","1/26/2009","Mon",22,70
"624","1/26/2009","Mon",23,72
"625","1/27/2009","Tue",0,73
"626","1/27/2009","Tue",1,75
"627","1/27/2009","Tue",2,71
"628","1/27/2009","Tue",3,74
"629","1/27/2009","Tue",4,72
"630","1/27/2009","Tue",5,78
"631","1/27/2009","Tue",6,72
"632","1/27/2009","Tue",7,78
"633","1/27/2009","Tue",8,76
"634","1/27/2009","Tue",9,77
"635","1/27/2009","Tue",10,79
"636","1/27/2009","Tue",11,90
"637","1/27/2009","Tue",12,79
"638","1/27/2009","Tue",13,77
"639","1/27/2009","Tue",14,76
"640","1/27/2009","Tue",15,82
"641","1/27/2009","Tue",16,83
"642","1/27/2009","Tue",17,77
"643","1/27/2009","Tue",18,87
"644","1/27/2009","Tue",19,79
"645","1/27/2009","Tue",20,76
"646","1/27/2009","Tue",21,76
"647","1/27/2009","Tue",22,70
"648","1/27/2009","Tue",23,66
"649","1/28/2009","Wed",0,53
"650","1/28/2009","Wed",1,54
"651","1/28/2009","Wed",2,58
"652","1/28/2009","Wed",3,62
"653","1/28/2009","Wed",4,65
"654","1/28/2009","Wed",5,63
"655","1/28/2009","Wed",6,69
"656","1/28/2009","Wed",7,75
"657","1/28/2009","Wed",8,70
"658","1/28/2009","Wed",9,71
"659","1/28/2009","Wed",10,77
"660","1/28/2009","Wed",11,85
"661","1/28/2009","Wed",12,78
"662","1/28/2009","Wed",13,79
"663","1/28/2009","Wed",14,76
"664","1/28/2009","Wed",15,74
"665","1/28/2009","Wed",16,71
"666","1/28/2009","Wed",17,73
"667","1/28/2009","Wed",18,79
"668","1/28/2009","Wed",19,81
"669","1/28/2009","Wed",20,72
"670","1/28/2009","Wed",21,74
"671","1/28/2009","Wed",22,67
"672","1/28/2009","Wed",23,70
"673","1/29/2009","Thu",0,68
"674","1/29/2009","Thu",1,68
"675","1/29/2009","Thu",2,69
"676","1/29/2009","Thu",3,70
"677","1/29/2009","Thu",4,66
"678","1/29/2009","Thu",5,75
"679","1/29/2009","Thu",6,75
"680","1/29/2009","Thu",7,84
"681","1/29/2009","Thu",8,84
"682","1/29/2009","Thu",9,83
"683","1/29/2009","Thu",10,91
"684","1/29/2009","Thu",11,90
"685","1/29/2009","Thu",12,87
"686","1/29/2009","Thu",13,82
"687","1/29/2009","Thu",14,82
"688","1/29/2009","Thu",15,80
"689","1/29/2009","Thu",16,72
"690","1/29/2009","Thu",17,70
"691","1/29/2009","Thu",18,81
"692","1/29/2009","Thu",19,75
"693","1/29/2009","Thu",20,65
"694","1/29/2009","Thu",21,69
"695","1/29/2009","Thu",22,63
"696","1/29/2009","Thu",23,57
"697","1/30/2009","Fri",0,55
"698","1/30/2009","Fri",1,61
"699","1/30/2009","Fri",2,61
"700","1/30/2009","Fri",3,63
"701","1/30/2009","Fri",4,55
"702","1/30/2009","Fri",5,54
"703","1/30/2009","Fri",6,60
"704","1/30/2009","Fri",7,71
"705","1/30/2009","Fri",8,71
"706","1/30/2009","Fri",9,75
"707","1/30/2009","Fri",10,79
"708","1/30/2009","Fri",11,81
"709","1/30/2009","Fri",12,75
"710","1/30/2009","Fri",13,64
"711","1/30/2009","Fri",14,67
"712","1/30/2009","Fri",15,65
"713","1/30/2009","Fri",16,58
"714","1/30/2009","Fri",17,65
"715","1/30/2009","Fri",18,65
"716","1/30/2009","Fri",19,64
"717","1/30/2009","Fri",20,62
"718","1/30/2009","Fri",21,60
"719","1/30/2009","Fri",22,59
"720","1/30/2009","Fri",23,63
"721","1/31/2009","Sat",0,52
"722","1/31/2009","Sat",1,57
"723","1/31/2009","Sat",2,60
"724","1/31/2009","Sat",3,63
"725","1/31/2009","Sat",4,63
"726","1/31/2009","Sat",5,70
"727","1/31/2009","Sat",6,69
"728","1/31/2009","Sat",7,70
"729","1/31/2009","Sat",8,74
"730","1/31/2009","Sat",9,71
"731","1/31/2009","Sat",10,76
"732","1/31/2009","Sat",11,85
"733","1/31/2009","Sat",12,77
"734","1/31/2009","Sat",13,75
"735","1/31/2009","Sat",14,70
"736","1/31/2009","Sat",15,73
"737","1/31/2009","Sat",16,72
"738","1/31/2009","Sat",17,63
"739","1/31/2009","Sat",18,67
"740","1/31/2009","Sat",19,68
"741","1/31/2009","Sat",20,64
"742","1/31/2009","Sat",21,60
"743","1/31/2009","Sat",22,56
"744","1/31/2009","Sat",23,52
"745","2/1/2009","Sun",0,54
"746","2/1/2009","Sun",1,53
"747","2/1/2009","Sun",2,49
"748","2/1/2009","Sun",3,56
"749","2/1/2009","Sun",4,54
"750","2/1/2009","Sun",5,54
"751","2/1/2009","Sun",6,66
"752","2/1/2009","Sun",7,65
"753","2/1/2009","Sun",8,61
"754","2/1/2009","Sun",9,65
"755","2/1/2009","Sun",10,69
"756","2/1/2009","Sun",11,70
"757","2/1/2009","Sun",12,65
"758","2/1/2009","Sun",13,59
"759","2/1/2009","Sun",14,63
"760","2/1/2009","Sun",15,68
"761","2/1/2009","Sun",16,65
"762","2/1/2009","Sun",17,66
"763","2/1/2009","Sun",18,72
"764","2/1/2009","Sun",19,71
"765","2/1/2009","Sun",20,60
"766","2/1/2009","Sun",21,57
"767","2/1/2009","Sun",22,51
"768","2/1/2009","Sun",23,49
"769","2/2/2009","Mon",0,60
"770","2/2/2009","Mon",1,58
"771","2/2/2009","Mon",2,63
"772","2/2/2009","Mon",3,58
"773","2/2/2009","Mon",4,66
"774","2/2/2009","Mon",5,69
"775","2/2/2009","Mon",6,76
